Unique Reference Number,Local Authority Code,Local Authority Name,Establishment Number,Establishment Name,Type Of Establishment,Establishment Status,Reason Establishment Opened,Open Date,Reason Establishment Closed,Close Date,Phase Of Education,Statutory Low Age,Statutory High Age,Boarders,Official Sixth Form,Gender,Religious Character,Diocese,Admissions Policy,School Capacity,Special Classes,Census Date,Number Of Pupils,Number Of Boys,Number Of Girls,Percentage Claiming Free School Meals,Trust School,Trust Name,School Sponsored,School Sponsor,Federation,Federation Name,Unique Property Reference Number,Further Higher Education Identifier,Further Education Type,Ofsted Last Inspected,Ofsted Special Measures,Last Changed Date,Street,Locality,Address 3,Town,County,Postcode,Website,Telephone Number,Head Title,Head First Name,Head Last Name,Head Honours,Head Preferred Job Title,Teen Mothers,Teen Mothers Places,Child Care Facilities,Special Education Needs Pupil Referral Unit,Emotional Behavioural Difficulties,Full Time Provision,Education By Other,Section 41 Approved,Special Education Needs 1,Special Education Needs 2,Region,Administrative Ward,Parliamentary Constituency,Urban Rural,GSSLA Code,Easting,Northing,Middle Super Output Area,Lower Super Output Area,Boarding Establishment,Previous Local Authority Code,Previous Local Authority Name,Previous Establishment Number,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID
101111,213,Westminster,2208,Essendine Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,420,No Special Classes,16/01/2014,454,215,240,43.2%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,27/02/2013,Not in special measures,18/06/2014,Essendine Road,,,London,,W9 2LR,http://www.essendine.westminster.sch.uk/,2076414382,Mrs,Diane,Buckle,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Maida Vale,Westminster North,Urban > 10k - less sparse,E09000033,525311,182561,Westminster 006,Westminster 006D,,999,,,-0.194978,51.528075,Unknown,24/09/2015,"(51.528075, -0.194978)",150
101115,213,Westminster,2778,George Eliot Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,420,No Special Classes,16/01/2014,443,210,235,42.2%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,21/05/2012,Not in special measures,18/06/2014,Marlborough Hill,,,London,,NW8 0NH,,2077226870,Mrs,Beatrix,Simpson,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Abbey Road,Westminster North,Urban > 10k - less sparse,E09000033,526535,183794,Westminster 002,Westminster 002A,,999,,,-0.176901,51.538883,Unknown,24/09/2015,"(51.538883, -0.176901)",151
101116,213,Westminster,2799,Hallfield Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,628,No Special Classes,16/01/2014,581,290,290,44.4%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,23/10/2013,Not in special measures,18/06/2014,Hallfield Estate,,,London,,W2 6JJ,,2070874960,Mrs,J,Grigg,B.Ed (Hons),Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Lancaster Gate,Westminster North,Urban > 10k - less sparse,E09000033,525940,181017,Westminster 016,Westminster 016D,,999,,,-0.186467,51.51406,Unknown,24/09/2015,"(51.51406, -0.186467)",152
101117,213,Westminster,2816,Robinsfield Infant School,Community School,Open,Not applicable,,Not applicable,,Primary,3,7,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,180,No Special Classes,16/01/2014,210,120,90,17.1%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,13/11/2014,Not in special measures,02/12/2014,Ordnance Hill,,,London,,NW8 6PX,,2076415019,,Naomi,Leaver,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Abbey Road,Westminster North,Urban > 10k - less sparse,E09000033,527037,183464,Westminster 001,Westminster 001A,,999,,,-0.169785,51.535805,Unknown,24/09/2015,"(51.535805, -0.169785)",153
101120,213,Westminster,2844,Queen's Park Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,260,No Special Classes,16/01/2014,315,160,155,45.7%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,23/01/2013,Not in special measures,18/06/2014,Droop Street,,,London,,W10 4DQ,,2076415860,Mr,Jonathan,Smith,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Queen's Park,Westminster North,Urban > 10k - less sparse,E09000033,524394,182467,Westminster 004,Westminster 004D,,999,,,-0.208224,51.527433,Unknown,24/09/2015,"(51.527433, -0.208224)",154
101121,213,Westminster,3306,All Souls CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,210,No Special Classes,16/01/2014,187,95,90,24.1%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,15/06/2011,Not in special measures,09/10/2014,Foley Street,,,London,,W1W 7JJ,http://www.allsoulsprimary.co.uk,2076414707,Miss,Alix,Ascough,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,West End,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,529242,181745,Westminster 013,Westminster 013B,,999,,,-0.138642,51.519857,Unknown,24/09/2015,"(51.519857, -0.138642)",155
101122,213,Westminster,3316,Burdett-Coutts and Townshend Foundation CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,403,Has Special Classes,16/01/2014,355,165,190,40.4%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,09/12/2014,Not in special measures,05/01/2015,Rochester Street,,,London,,SW1P 2QQ,http://www.burdettcoutts.westminster.lgfl.net,2076415930,Mrs,Rosetta,Dyer,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Vincent Square,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,529548,179003,Westminster 020,Westminster 020D,,999,,,-0.13524,51.495145,Unknown,24/09/2015,"(51.495145, -0.13524)",156
101123,213,Westminster,3351,Hampden Gurney CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,210,No Special Classes,16/01/2014,234,120,115,6%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,08/05/2009,Not in special measures,18/06/2014,13 Nutford Place,,,London,,W1H 5HA,,2076414195,Mrs,Evelyn,Chua,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Bryanston and Dorset Square,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,527459,181362,Westminster 012,Westminster 012B,,999,,,-0.164464,51.51682,Unknown,24/09/2015,"(51.51682, -0.164464)",157
101124,213,Westminster,3381,Our Lady of Dolours RC Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Roman Catholic,Archdiocese of Westminster,Not applicable,315,No Special Classes,16/01/2014,289,160,130,42.9%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,20/03/2013,Not in special measures,18/06/2014,19 Cirencester Street,Paddington,,London,,W2 5SR,http://www.ourladydolours.co.uk,2076414326,Mrs,Sarah,Alley,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Westbourne,Westminster North,Urban > 10k - less sparse,E09000033,525575,181820,Westminster 010,Westminster 010A,,999,,,-0.191439,51.521357,Unknown,24/09/2015,"(51.521357, -0.191439)",158
101125,213,Westminster,3414,St Augustine's CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,210,No Special Classes,16/01/2014,227,100,130,29.5%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,09/10/2013,Not in special measures,18/06/2014,Kilburn Park Road,,,London,,NW6 5XA,http://www.st-augustines-pri.westminster.sch.uk/index.html,2073280221,Ms,Suzanne,Parry,,Head Teacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Maida Vale,Westminster North,Urban > 10k - less sparse,E09000033,525528,183286,Westminster 002,Westminster 002D,,999,,,-0.191594,51.534543,Unknown,24/09/2015,"(51.534543, -0.191594)",159
101126,213,Westminster,3418,St Barnabas' CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,4,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,161,No Special Classes,16/01/2014,153,80,75,43.1%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,30/01/2013,Not in special measures,18/06/2014,St Barnabas Street,Pimlico,,London,,SW1W 8PF,,2076414232,Ms,Ann,Townshend,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Churchill,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,528421,178462,Westminster 023,Westminster 023B,,999,,,-0.151662,51.49054,Unknown,24/09/2015,"(51.49054, -0.151662)",160
101127,213,Westminster,3424,St Clement Danes CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,235,No Special Classes,16/01/2014,230,105,125,23.9%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,04/11/2014,Not in special measures,02/12/2014,Drury Lane,,,London,,WC2B 5SU,,2076416586,Mrs,Angela,Abrahams,,Headmistress,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,St James's,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,530611,181081,Westminster 018,Westminster 018B,,999,,,-0.119167,51.513575,Unknown,24/09/2015,"(51.513575, -0.119167)",161
101128,213,Westminster,3432,St Edward's Catholic Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Roman Catholic,Archdiocese of Westminster,Not applicable,420,No Special Classes,16/01/2014,386,195,190,28.6%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,02/10/2014,Not in special measures,27/01/2015,Lisson Grove,,,London,,NW1 6LH,,2077235911,Mrs,Violet,Richardson,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Bryanston and Dorset Square,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,527354,182085,Westminster 008,Westminster 008A,,999,,,-0.165715,51.523341,Unknown,24/09/2015,"(51.523341, -0.165715)",162
101129,213,Westminster,3440,St Gabriel's CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,5,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,210,No Special Classes,16/01/2014,200,105,95,43.5%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,11/03/2014,Not in special measures,18/06/2014,Churchill Gardens Road,,,London,,SW1V 3AG,,2076416300,Miss,S,McMahon,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Churchill,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,529064,178013,Westminster 024,Westminster 024A,,999,,,-0.14257,51.486359,Unknown,24/09/2015,"(51.486359, -0.14257)",163
101130,213,Westminster,3446,St George's Hanover Square CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,5,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,181,No Special Classes,16/01/2014,185,80,105,13.5%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,02/11/2011,Not in special measures,18/06/2014,South Street,,,London,,W1K 2XH,,2076291196,Mr,M,Lothian,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,West End,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,528476,180499,Westminster 018,Westminster 018D,,999,,,-0.150129,51.508834,Unknown,24/09/2015,"(51.508834, -0.150129)",164
101131,213,Westminster,3451,Soho Parish CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,4,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,152,No Special Classes,16/01/2014,145,75,70,8.3%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,09/03/2011,Not in special measures,07/10/2014,23 Great Windmill Street,,,London,,W1D 7LF,http://www.sohoparish.co.uk,2074327320,Mr,Joffy,Conolly,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,West End,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,529559,180851,Westminster 013,Westminster 013C,,999,,,-0.134403,51.51175,Unknown,24/09/2015,"(51.51175, -0.134403)",165
101132,213,Westminster,3453,St James & St John Church of England Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,4,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,195,No Special Classes,16/01/2014,187,90,100,16.6%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,22/03/2012,Not in special measures,18/08/2014,4 Craven Terrace,,,London,,W2 3QD,,2076416218,Mrs,Valerie,De Angelis,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Lancaster Gate,Westminster North,Urban > 10k - less sparse,E09000033,526422,180910,Westminster 016,Westminster 016C,,999,,,-0.179563,51.51299,Unknown,24/09/2015,"(51.51299, -0.179563)",166
101133,213,Westminster,3473,St Joseph's RC Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Roman Catholic,Archdiocese of Westminster,Not applicable,210,No Special Classes,16/01/2014,320,165,155,6.7%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,21/01/2015,Not in special measures,03/02/2015,Lanark Road,Maida Vale,,London,,W9 1DF,http://www.stjosephsschool.org.uk,2072863518,Mrs,Louise,Fleming,,Interim Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Little Venice,Westminster North,Urban > 10k - less sparse,E09000033,526196,182511,Westminster 007,Westminster 007A,,999,,,-0.182245,51.527429,Unknown,24/09/2015,"(51.527429, -0.182245)",167
101134,213,Westminster,3496,St Luke's CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,5,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,207,No Special Classes,16/01/2014,193,90,105,36.8%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,08/03/2012,Not in special measures,18/06/2014,Fernhead Road,,,London,,W9 3EJ,http://www.stlukesprimary.org.uk,2076415855,Mrs,Barbara,Dunn,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Queen's Park,Westminster North,Urban > 10k - less sparse,E09000033,524741,183012,Westminster 005,Westminster 005F,,999,,,-0.203031,51.532254,Unknown,24/09/2015,"(51.532254, -0.203031)",168
101135,213,Westminster,3511,St Mary Magdalene CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,236,No Special Classes,16/01/2014,228,120,110,43%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,16/10/2012,Not in special measures,18/06/2014,Rowington Close,Warwick Estate,Paddington,London,,W2 5TF,http://www.st-marymagdalene.westminster.sch.uk/,2075040555,Miss,Tonnie,Simpson,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Westbourne,Westminster North,Urban > 10k - less sparse,E09000033,525683,181957,Westminster 010,Westminster 010A,,999,,,-0.189834,51.522564,Unknown,24/09/2015,"(51.522564, -0.189834)",169
101136,213,Westminster,3520,St Mary's Bryanston Square CofE School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,210,No Special Classes,16/01/2014,229,105,125,19.2%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,06/02/2014,Not in special measures,18/06/2014,Enford Street,,,London,,W1H 1DL,,2076414130,Mr,Peter,Hadfield,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Bryanston and Dorset Square,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,527546,181766,Westminster 012,Westminster 012C,,999,,,-0.163065,51.520431,Unknown,24/09/2015,"(51.520431, -0.163065)",170
101137,213,Westminster,3532,St Mary of the Angels RC Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Roman Catholic,Archdiocese of Westminster,Not applicable,315,No Special Classes,16/01/2014,324,175,150,22.8%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,27/02/2012,Not in special measures,18/06/2014,Shrewsbury Road,Bayswater,,London,,W2 5PR,http://www.stmaryangels.co.uk/,2076414482,Mrs,Mary,Wilson,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Bayswater,Westminster North,Urban > 10k - less sparse,E09000033,525132,181428,Westminster 014,Westminster 014C,,999,,,-0.197959,51.517933,Unknown,24/09/2015,"(51.517933, -0.197959)",171
101138,213,Westminster,3539,"St Matthew's School, Westminster",Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,210,No Special Classes,16/01/2014,200,95,105,30.3%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,24/10/2013,Not in special measures,18/06/2014,16-18 Old Pye Street,Westminster,,London,,SW1P 2DG,http://www.stmwschool.org.uk,2075040500,Mrs,Rachel,Jewitt,Ba (Hons),Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,St James's,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,529827,179261,Westminster 020,Westminster 020B,,999,,,-0.131128,51.4974,Unknown,24/09/2015,"(51.4974, -0.131128)",172
101139,213,Westminster,3580,St Peter's CofE School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,5,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,210,Has Special Classes,16/01/2014,210,110,100,32.4%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,14/01/2014,Not in special measures,18/06/2014,Chippenham Mews,Paddington,,London,,W9 2AN,http://www.st-peters.westminster.sch.uk/,2076414385,Ms,Samanda,Adcock,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Harrow Road,Westminster North,Urban > 10k - less sparse,E09000033,525183,182121,Westminster 006,Westminster 006A,,999,,,-0.196979,51.524149,Unknown,24/09/2015,"(51.524149, -0.196979)",173
101140,213,Westminster,3582,St Peter's Eaton Square CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,310,No Special Classes,16/01/2014,306,145,160,9.5%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,17/10/2006,Not in special measures,18/06/2014,Lower Belgrave Street,,,London,,SW1W 0NL,,2076414230,Ms,N S,Cottier,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Warwick,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,528736,179092,Westminster 023,Westminster 023E,,999,,,-0.146898,51.496131,Unknown,24/09/2015,"(51.496131, -0.146898)",174
101141,213,Westminster,3590,St Saviour's CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,210,No Special Classes,16/01/2014,232,110,120,9.5%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,17/10/2008,Not in special measures,18/06/2014,Shirland Road,Maida Vale,,London,,W9 2JD,http://www.stsavioursprimary.co.uk,2076416414,Ms,L J,Woodford,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Little Venice,Westminster North,Urban > 10k - less sparse,E09000033,525889,182081,Westminster 007,Westminster 007C,,999,,,-0.186822,51.523633,Unknown,24/09/2015,"(51.523633, -0.186822)",175
101142,213,Westminster,3598,St Stephen's CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,235,No Special Classes,16/01/2014,224,110,110,45%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,31/01/2013,Not in special measures,17/09/2014,91 Westbourne Park Road,,,London,,W2 5QH,http://www.st-stephensprimary.co.uk,2076414488,Miss,Lucy,Cohen,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Bayswater,Westminster North,Urban > 10k - less sparse,E09000033,525274,181553,Westminster 014,Westminster 014C,,999,,,-0.195869,51.519025,Unknown,24/09/2015,"(51.519025, -0.195869)",176
101143,213,Westminster,3610,St Vincent's RC Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Roman Catholic,Archdiocese of Westminster,Not applicable,254,No Special Classes,16/01/2014,230,115,115,11.2%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,19/10/2010,Not in special measures,18/06/2014,St Vincent Street,,,London,,W1U 4DF,,2076416110,Miss,Marina,Coleman,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Marylebone High Street,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,528270,181584,Westminster 011,Westminster 011D,,999,,,-0.152702,51.518631,Unknown,24/09/2015,"(51.518631, -0.152702)",177
101144,213,Westminster,3611,St Vincent de Paul RC Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Roman Catholic,Archdiocese of Westminster,Not applicable,210,No Special Classes,16/01/2014,242,120,125,11.8%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,02/04/2014,Not in special measures,18/06/2014,Morpeth Terrace,,,London,,SW1P 1EP,,2076415990,Mr,Jack,O'neill,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Vincent Square,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,529206,179068,Westminster 020,Westminster 020E,,999,,,-0.14014,51.495808,Unknown,24/09/2015,"(51.495808, -0.14014)",178
101146,213,Westminster,3623,Westminster Cathedral RC Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,5,11,No Boarders,Does not have a sixth form,Mixed,Roman Catholic,Archdiocese of Westminster,Not applicable,210,No Special Classes,16/01/2014,202,100,105,19.3%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,06/06/2013,Not in special measures,18/06/2014,Bessborough Place,,,London,,SW1V 3SE,,2076415915,Mr,T,Doherty,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Tachbrook,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,529777,178296,Westminster 024,Westminster 024C,,999,,,-0.132203,51.488739,Unknown,24/09/2015,"(51.488739, -0.132203)",179
101147,213,Westminster,3653,Christ Church Bentinck CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,256,No Special Classes,16/01/2014,240,115,125,50.2%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,09/10/2013,Not in special measures,18/06/2014,Cosway Street,,,London,,NW1 5NS,,2076414135,Mrs,Sandra,Tyrrell,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Church Street,Westminster North,Urban > 10k - less sparse,E09000033,527312,181875,Westminster 009,Westminster 009D,,999,,,-0.166396,51.521463,Unknown,24/09/2015,"(51.521463, -0.166396)",180
101154,213,Westminster,4723,St Augustine's CofE High School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Secondary,11,18,No Boarders,Has a sixth form,Mixed,Church of England,Diocese of London,Comprehensive,900,No Special Classes,16/01/2014,900,490,410,41.6%,Not applicable,,Not applicable,,Not under a federation,,10006278,,Not applicable,18/09/2013,Not in special measures,18/06/2014,Oxford Road,,,London,,NW6 5SN,http://www.staugustineshigh.org,2073283434,Mr,Eugene,Moriarty,BA (QTS) MA,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,HI - Hearing Impairment,,London,Maida Vale,Westminster North,Urban > 10k - less sparse,E09000033,525469,183256,Westminster 002,Westminster 002D,,999,,,-0.192454,51.534286,Unknown,24/09/2015,"(51.534286, -0.192454)",181
101156,213,Westminster,6034,Arnold House School,Other Independent School,Open,Not applicable,01/01/1920,Not applicable,,Not applicable,5,13,No Boarders,Does not have a sixth form,Boys,Church of England,Not applicable,Non-selective,260,No Special Classes,16/01/2014,269,270,0,0%,Not applicable,,Not applicable,,Not applicable,,10018625,,Not applicable,,Not applicable,01/04/2015,1-3 Loudoun Road,St John's Wood,,London,,NW8 0LH,,2072664840,Mr,V W P,Thomas,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Abbey Road,Westminster North,Urban > 10k - less sparse,E09000033,526561,183245,Westminster 001,Westminster 001B,,999,,,-0.176723,51.533944,Unknown,24/09/2015,"(51.533944, -0.176723)",182
101157,213,Westminster,6036,Queen's College London,Other Independent School,Open,Not applicable,01/01/1931,Not applicable,,Not applicable,4,18,No Boarders,Has a sixth form,Girls,Church of England,,Not collected,550,No Special Classes,16/01/2014,526,0,525,0%,Not applicable,,Not applicable,,Not applicable,,10008447,,Not applicable,,Not applicable,16/01/2015,43-49 Harley Street,,,London,,W1G 8BT,,2072917000,Dr,Frances,Ramsey,,Principal,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Marylebone High Street,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,528666,181576,Westminster 011,Westminster 011A,,999,,,-0.147,51.51847,Unknown,24/09/2015,"(51.51847, -0.147)",183
101158,213,Westminster,6037,Francis Holland School,Other Independent School,Open,Not applicable,01/01/1920,Not applicable,,Not applicable,11,18,No Boarders,Has a sixth form,Girls,Church of England,,Not collected,390,No Special Classes,16/01/2014,464,0,465,0%,Not applicable,,Not applicable,,Not applicable,,10043880,,Not applicable,,Not applicable,16/01/2015,Clarence Gate,Ivor Place,,London,,NW1 6XR,,2077230176,Mrs,Vivienne,Durham,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Bryanston and Dorset Square,Cities of London and Westminster,Urban > 10k - less sparse,E09000033,527724,182244,Westminster 008,Westminster 008B,,999,,,-0.160328,51.524686,Unknown,24/09/2015,"(51.524686, -0.160328)",184
